id,code,name,type,parent_id:id,reconcile,user_type:id
ni_puc_120402,120402,Valorización de Bienes inmuebles,other,ni_puc_1204,FALSE,account.data_account_type_asset
ni_puc_2,2,PASIVOS,view,ni_puc_root,FALSE,account.data_account_type_liability
ni_puc_21,21,PASIVO A CORTO PLAZO,view,ni_puc_2,FALSE,account.data_account_type_liability
ni_puc_2101,2101,PROVEEDORES,view,ni_puc_21,FALSE,account.data_account_type_payable
ni_puc_210101,210101,Proveedores Nacionales,payable,ni_puc_2101,TRUE,account.data_account_type_payable
ni_puc_210102,210102,PROVEEDORES INTERNACIONALES,view,ni_puc_2101,FALSE,account.data_account_type_payable
ni_puc_21010201,21010201,Bosch,payable,ni_puc_210102,TRUE,account.data_account_type_payable
ni_puc_21010202,21010202,Otros Proveedores Internacionales,payable,ni_puc_210102,TRUE,account.data_account_type_payable
ni_puc_210103,210103,Anticipos a Proveedores,payable,ni_puc_2101,TRUE,account.data_account_type_payable
ni_puc_2102,2102,ACREEDORES,view,ni_puc_21,FALSE,account.data_account_type_payable
ni_puc_210201,210201,Acreedores (Por Gsts de funcionamiento),payable,ni_puc_2102,TRUE,account.data_account_type_payable
ni_puc_210202,210202,Otras cuentas por Pagar,payable,ni_puc_2102,TRUE,account.data_account_type_payable
ni_puc_2103,2103,SOCIOS,view,ni_puc_21,FALSE,account.data_account_type_liability
ni_puc_2104,2104,CUOTAS Y CONTRIBUCIONES,view,ni_puc_21,FALSE,account.data_account_type_liability
ni_puc_210401,210401,Cuota Patronal INSS,payable,ni_puc_2104,TRUE,account.data_account_type_liability
ni_puc_210402,210402,Cuota Laboral INSS,payable,ni_puc_2104,TRUE,account.data_account_type_liability
ni_puc_210403,210403,Cuota Patronal INATEC,payable,ni_puc_2104,TRUE,account.data_account_type_liability
ni_puc_210404,210404,INSS Contratista,payable,ni_puc_2104,TRUE,account.data_account_type_liability
ni_puc_2105,2105,PROVISIONES LABORALES,view,ni_puc_21,FALSE,account.data_account_type_liability
ni_puc_210501,210501,Aguinaldo,payable,ni_puc_2105,TRUE,account.data_account_type_liability
ni_puc_210502,210502,Bonos,payable,ni_puc_2105,TRUE,account.data_account_type_liability
ni_puc_210503,210503,Vacaciones,payable,ni_puc_2105,TRUE,account.data_account_type_liability
ni_puc_210504,210504,Indemnizaciones,payable,ni_puc_2105,TRUE,account.data_account_type_liability
ni_puc_2106,2106,IMPUESTOS Y CONTRIBUCIONES,view,ni_puc_21,FALSE,account.conf_account_type_tax
ni_puc_210601,210601,IVA por pagar,payable,ni_puc_2106,TRUE,account.conf_account_type_tax
ni_puc_210602,210602,Retención IR Empleados,payable,ni_puc_2106,TRUE,account.conf_account_type_tax
ni_puc_210603,210603,Retención 1% IMI Alcaldía de Managua,payable,ni_puc_2106,TRUE,account.conf_account_type_tax
ni_puc_210604,210604,RETENCIONES A TERCEROS,view,ni_puc_2106,FALSE,account.conf_account_type_tax
ni_puc_21060401,21060401,Retención IR 2%,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_21060402,21060402,Retención IR 20% No Domiciliados,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_21060403,21060403,Retención IR 10% Serv. Profesionales,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_21060404,21060404,Retención IR 15% no domiciliados persona jurídica,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_21060405,21060405,Retención IR 7% Alquiler Mobiliario,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_21060406,21060406,Retención IR 10% Interes S/Préstamos a L.P.,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_21060407,21060407,Retención IR 3% Transp. Marítimo y aéreo,payable,ni_puc_210604,TRUE,account.conf_account_type_tax
ni_puc_22,22,PASIVO A LARGO PLAZO,view,ni_puc_2,FALSE,account.data_account_type_liability
ni_puc_2201,2201,OBLIGACIONES FINANCIERAS,view,ni_puc_22,FALSE,account.data_account_type_liability
